Month,East_North_Central_NSA,East_North_Central_SA,East_South_Central_NSA,East_South_Central_SA,Middle_Atlantic_NSA,Middle_Atlantic_SA,Mountain_NSA,Mountain_SA,New_England_NSA,New_England_SA,Pacific_NSA,Pacific_SA,South_Atlantic_NSA,South_Atlantic_SA,West_North_Central_NSA,West_North_Central_SA,West_South_Central_NSA,West_South_Central_SA,USA_NSA,USA_SA
1999-11-01 00:00:00,148.2,147.57,143.6,143,117.25,116.6,163.07,163.02,124.48,123.99,118.73,118.78,132.09,131.69,149.94,149.18,137.56,136.99,135.23,134.76
1999-12-01 00:00:00,148.43,148.34,143.79,143.55,117.16,116.93,163.09,163.56,125.97,126.08,119.26,119.51,132.4,132.09,149.82,149.94,137.79,137.6,135.51,135.42
2000-01-01 00:00:00,149.57,149.96,144.45,144.02,118.98,118.85,163.97,164.83,126.85,127.49,121.81,122.33,133.48,133.21,150.42,150.89,138.65,138.95,136.82,137
2000-02-01 00:00:00,149.15,149.21,144.49,144.31,117.61,118.38,164.37,165.06,126.19,127.49,120.83,121.31,133.92,133.6,151.43,151.98,138.89,138.87,136.6,136.84
2000-03-01 00:00:00,151.18,150.63,144.7,144.37,119.24,119.41,166.05,165.91,128.66,129.43,123.14,122.93,134.65,134.18,153.04,152.57,140.3,139.91,138.16,137.88
2000-04-01 00:00:00,152.2,151.26,146.06,145.41,120.48,120.44,167.11,166.55,130.73,130.65,124.25,123.81,136.05,135.28,154.63,153.85,141.74,140.72,139.47,138.82
2000-05-01 00:00:00,153.4,151.62,146.22,145.31,121.54,120.74,168.03,167.15,132.95,132.28,125.96,124.88,136.88,135.89,155.86,154.23,142.38,141.15,140.57,139.39
2000-06-01 00:00:00,154.75,152.68,147.13,145.73,123.89,121.83,169.66,168.46,136.2,134.12,127.11,125.91,138.16,136.73,156.98,154.97,143.13,141.79,142.01,140.35
2000-07-01 00:00:00,155.57,153.4,147.47,146.39,124.54,122.52,169.97,168.98,137.03,134.78,127.98,126.93,138.81,137.48,157.82,155.66,143.98,142.4,142.74,141.09
2000-08-01 00:00:00,155.69,153.77,147.02,146.02,125.01,123.05,170.57,169.49,137.64,135.78,129.04,128.06,139,137.84,158.4,156.43,144.44,142.95,143.15,141.64
2000-09-01 00:00:00,155.82,154.19,147.21,146.19,126.12,124.55,170.5,169.76,139.03,137.33,130.03,129.33,139.81,138.69,158.72,157.17,144.55,143.54,143.74,142.49
